Links,Video_title,Video pub­lish time,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions-click-through rate (%)
pyBTmBFIeyw,Subhash ji full song with karaoke || Link in description,"Jan 23, 2020",29,530,5.9817,0,9558,3.53
84E7XMLE18M,Abaad Barbaad Arijit Singh INSTRUMENTAL (UNCOPYRIGHTED KARAOKE) Original karaoke link in description,"Oct 21, 2020",28,1067,13.0506,1,7419,10.37
S0qjnt5T41M,In Dino Dil Mera (Life in a Metro)  Cover by Arko Mukherjee,"Jun 23, 2019",28,194,3.6608,1,4534,2.56
VabqPBVLZr4,Relays and optocouplers||which one to choose || Home automation using Arduino series 1,"Jun 12, 2019",28,565,15.1112,3,5384,7.95
yMVin9XGvJ4,Mitwa-(kavi alvida na kehena) cover by Arko Mukherjee (HEADPHONES RECOMMENDED),"Jul 5, 2019",28,190,4.0108,2,3859,2.85
Sn1xiwbt9Nw,Bedardi Se Payar Ka KARAOKE | JUBIN NAUTIYAL |,"Jun 8, 2021",27,790,16.6333,3,6178,9.7
eGeYlkLb20k,How to make circuit playing music like flute/melody || DIY || diwali project 2019,"Oct 27, 2019",27,198,1.5316,7,3462,3.47
guVNb_xCYn4,TANHAAI INSTRUMENTAL(COPYRIGHT FREE KARAOKE)-Tulsi Kumar |Download original karaoke from description,"Oct 30, 2020",26,1108,13.8574,5,5985,9.84
Hi7VXNpkSKs,Raghupati Raghav Raja Ram | Sachet Tandon | HD Karaoke with lyrics,"Jul 1, 2020",25,847,18.3304,2,10892,5.63
KpZVeGVA9dE,||DIY|| Bluetooth operated clock. Control clock from smartphone || Home automation using Arduino 2,"Jul 12, 2019",24,95,0.9939,0,2026,2.96
qjrv7ug2kcc,Qatra - Stebin Ben | Unplugged karaoke version | Piano cover Robin2bin,"Mar 7, 2021",24,363,9.1473,3,2238,11.04
xFNC9ONTlFc,Can we use DC motors as DC generators?,"May 20, 2019",24,91,0.9251,0,1391,4.89
BdUrhAMhXYo,Special spoon for Parkinson's disease by Arko Mukherjee. ||DIY||,"Apr 16, 2019",23,139,1.1705,0,2680,3.4
YAh2_QnCwqQ,Magnet pole detector circuit By Arko Mukherjee,"Mar 25, 2018",22,101,2.1194,3,1881,3.03
ZXqOzSvfRJY,Zinda Dili - Arijit Singh | INSTRUMENTAL | COPYRIGHT FREE | BHOOMI 2020,"Dec 14, 2020",22,308,4.1516,3,3589,6.85
bsEapQ9uOm0,How to generate clock pulse(Astable multivibrator) using 555 timer and arduino uno,"Nov 14, 2017",22,278,5.5668,0,5870,2.78
k-Y-qSdG7_s,#saraswatipuja2023 #republicday Perfect song for the day. Happy Saraswati puja 2023,"Jan 26, 2023",22,130,0.582,1,102,4.9
1qUGrpNRAgA,Dil Bechara all songs karaoke and review|karaoke download link in description,"Jul 23, 2020",21,109,1.405,1,2765,2.68
NFnovTAkXAY,Somarohe Tabla Cover - Robin2bin Edition | Ek Je chhilo raja,"Feb 7, 2021",21,337,10.1109,0,2272,8.98
mSUTiPBX2hY,Oh Saiyaan | Arijit Singh Full karaoke(Customised) with lyrics | The Power |Raj Pandit Salim Suleman,"Jan 12, 2021",21,523,8.258,2,4600,9.17
1AOMgSrJ7E4,NAYAN - Instrumental Electronic tabla | Dhvani B Jubin N,"Dec 8, 2020",20,584,6.6376,2,3780,12.2
T0C-a5CXOec,Khulke Jeene ka song karaoke download and review|Dil bechara|download link in description,"Jul 20, 2020",20,214,2.4446,0,5275,3.15
BGxS-1WfT_A,Angna Morey Karaoke | Shreya Ghosal Soumodeep Ghosal | Robin2bin edition,"Feb 15, 2021",18,258,4.7055,1,3206,5.99
IAEtZOCg27I,Designing Ring counter circuits (with practical demonstration),"Aug 23, 2018",18,223,5.5244,2,7303,2.34
RxQfgtjxX0w,College Square tour blog kolkata || Durga Puja 2019 || 1st blog,"Oct 4, 2019",18,134,2.8073,1,2439,3.24
9JtM61KdK0g,Ishq Kamal Unplugged Karaoke|Javed Ali|Sadak2|Original karaoke link in description,"Aug 19, 2020",17,317,5.4315,1,4010,5.94
BkSMkUeq0i8,Tomari gaan geye jai (বাংলা গজাল - তোমারি গান গেয়ে যাই),"Jul 28, 2016",17,302,3.2142,0,2719,2.54
GakWzDVTOWI,Concept of designing synchronous counters with practical demonstration,"Jun 22, 2018",17,128,3.4075,1,2219,4.24
Iot0_f8U308,Tumi Sondhayro meghomala singing #AchenaUttam #Robin2bin,"Sep 14, 2022",17,252,0.8205,1,875,3.54
Srb4to6YZHs,||DIY|| Digital Ammeter and voltmetere (DIGITAL Display using arduino),"Feb 27, 2019",17,82,0.8981,0,3443,1.71
5D7vAST2zkg,Angna Morey Tabla cover | Shreya Ghosal Soumodeep Ghosal | Robin2bin edition,"Feb 15, 2021",16,161,4.7474,0,1839,5.87
C6CsqORKYSo,Tridhara Sammilani tour blog || Durga puja 2019 || 3rd blog,"Oct 5, 2019",16,101,2.0973,2,1563,2.43
FN5A6gTLRHA,Never say goodbye unplugged karaoke |Dil Bechara| Original karaoke link in Description,"Sep 5, 2020",16,382,9.7695,3,2628,9.63
St_OCOignQA,Wafa Na Raas Aayee Karaoke | Jubin Nautiyal | Robin2bin,"Apr 23, 2021",16,456,6.9305,2,6401,5.28
hePiWQomxro,Tere Rang Instrumental Harmonium cover |Atrangi Re|@A. R. Rahman| Murali Mogha | Galatta Kalyaanam,"Mar 9, 2022",16,335,6.0517,0,1967,11.13
